,years ma,Arthropoda,Brachiopoda,Foraminifera,Echinodermata,Porifera,Chordata,Mollusca,Bryozoa,Cnidaria,Hyolitha,Problematica,Agmata,Priapulida,Hemichordata,Annelida,Rhodophyta,Lophotrochozoa,Chlorophyta,Cyanobacteria,Ciliophora,Haptophyta,Radiolaria,Lycopodophyta,Bryophyta,Prasinophyta,Onychophora,Lycophyta,Chaetognatha,Proarticulata,Psilophytophyta,Thallophyta,Zosterophyllophyta,Pteridophyta,Tracheophyta,Pinophyta,Coniferophyta,Gymnospermophyta,Ginkgophyta,Lycopodiophyta,Pteridospermophyta,Sphenophyta,Equisetophyta,Angiospermae,Peltaspermophyta,Ochrophyta,Cycadophyta,Spermatophyta,Aneurophytophyta,Phaeophyta,Charophyta,Rhizopodea,Cladoxylophyta,Progymnospermophyta,Magnoliophyta,Gnetophyta,Cycadeoideophyta,Filicophyta,Sipuncula,Myzozoa,Isoetophyta,Anthocerophyta,Cercozoa,Vetulicolia,Ctenophora,Entoprocta,Nematoda,Platyhelminthes,Tardigrada
412,413,981,3838,3,286,316,686,973,57,1382,8,4,0,0,149,9,3,162,9,30,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,414,981,3838,3,286,316,686,973,57,1382,8,4,0,0,149,9,3,162,9,30,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,415,981,3838,3,286,316,686,973,57,1382,8,4,0,0,149,9,3,162,9,30,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,416,947,3622,3,280,306,675,897,53,1341,8,4,0,0,149,9,3,158,8,26,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,417,947,3622,3,280,306,675,897,53,1341,8,4,0,0,149,9,3,158,8,26,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,418,947,3622,3,280,306,675,897,53,1341,8,4,0,0,149,9,3,158,8,26,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,419,947,3622,3,280,306,675,897,53,1341,8,4,0,0,149,9,3,158,8,26,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,420,981,1610,0,202,123,228,847,99,728,2,0,0,0,183,13,3,47,9,6,0,0,0,0,4,0,0,0,0,0,61,0,5,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,421,981,1610,0,202,123,228,847,99,728,2,0,0,0,183,13,3,47,9,6,0,0,0,0,4,0,0,0,0,0,61,0,5,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,422,986,1659,0,179,123,220,865,100,732,2,0,0,0,185,13,3,48,9,6,0,0,0,0,4,0,0,0,0,0,61,0,5,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,423,1374,3040,0,348,357,233,1233,164,1298,19,0,0,2,279,75,21,127,11,41,0,0,0,2,1,0,0,0,0,0,26,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
423,424,1374,3040,0,348,357,233,1233,164,1298,19,0,0,2,279,75,21,127,11,41,0,0,0,2,1,0,0,0,0,0,26,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
424,425,1374,3040,0,348,357,233,1233,164,1298,19,0,0,2,279,75,21,127,11,41,0,0,0,2,1,0,0,0,0,0,26,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
425,426,1320,3132,0,322,301,179,1254,150,1313,8,0,0,2,255,23,21,73,11,35,0,0,0,2,1,0,0,0,0,0,29,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
426,427,1192,3031,0,325,301,153,1241,150,1426,8,0,0,2,255,23,21,73,13,35,0,0,0,2,1,0,0,0,0,0,29,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
427,428,1512,4242,1,849,268,320,1075,324,1861,4,0,0,0,221,43,18,85,19,31,0,0,0,0,1,0,0,0,0,0,15,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
428,429,1501,4248,1,849,267,317,1075,324,1857,4,0,0,0,225,43,18,85,19,31,0,0,0,0,1,0,0,0,0,0,15,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
429,430,1501,4248,1,849,267,317,1075,324,1857,4,0,0,0,225,43,18,85,19,31,0,0,0,0,1,0,0,0,0,0,15,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
430,431,1709,4792,1,991,335,474,1252,379,1990,1,0,0,0,245,55,20,120,19,35,0,0,0,0,1,0,0,0,0,0,11,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
431,432,1709,4792,1,991,335,474,1252,379,1990,1,0,0,0,245,55,20,120,19,35,0,0,0,0,1,0,0,0,0,0,11,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
432,433,1709,4792,1,991,335,474,1252,379,1990,1,0,0,0,245,55,20,120,19,35,0,0,0,0,1,0,0,0,0,0,11,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
433,434,1510,3602,6,491,223,163,1133,276,1889,7,2,0,0,659,24,3,137,20,12,0,0,12,0,1,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
