orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,reference_no,is_extant,n_occs,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,type_taxon,type_taxon_no,n_orders,n_families,n_genera,n_species
83101,83101,txn,,genus,Qinlingosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,14794,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Qinlingosaurus,83101,,Qinlingosaurus luonanensis,83102,,,,0
83102,83102,txn,,species,Qinlingosaurus luonanensis,nomen dubium,38653,unranked clade,Sauropoda,83101,14794,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Qinlingosaurus,83101,,,,,,,
192326,192326,txn,,superfamily,Camarasauroidea,,192326,superfamily,Camarasauroidea,38653,36736,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,,,,,,,,,1,0,0
81828,81828,txn,,family,Barapasauridae,,81828,family,Barapasauridae,192326,17720,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Barapasauridae,81828,,,,,,,,0,0
77395,77395,txn,,genus,Bruhathkayosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,17189,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Bruhathkayosaurus,77395,,,,,,,0
77396,77396,txn,,species,Bruhathkayosaurus matleyi,nomen dubium,38653,unranked clade,Sauropoda,77395,17189,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Bruhathkayosaurus,77395,,,,,,,
83022,83022,txn,,genus,Tapinosaurus,,83022,genus,Tapinosaurus,38653,15490,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Tapinosaurus,83022,,,,,,,0
66829,66829,txn,,species,Cetiosaurus medius,nomen dubium,38653,unranked clade,Sauropoda,38653,14071,extinct,3,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
310481,382276,txn,,suborder,Allophagi,subjective synonym of,38653,unranked clade,Sauropoda,38505,34613,extinct,3309,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,,,,,,,,,29,300,348
264092,264092,txn,,family,Brontosauridae,,264092,family,Brontosauridae,38653,46006,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Brontosauridae,264092,,,,,,,,0,0
52984,52984,txn,,genus,Morinosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,19135,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Morinosaurus,52984,,Morinosaurus typus,65159,,,,0
65159,65159,txn,,species,Morinosaurus typus,nomen dubium,38653,unranked clade,Sauropoda,52984,19135,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Morinosaurus,52984,,,,,,,
68151,68151,txn,,genus,Chinshakiangosaurus,,68151,genus,Chinshakiangosaurus,38653,64009,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Chinshakiangosaurus,68151,,Chinshakiangosaurus chunghoensis,68152,,,,1
68152,68152,txn,,species,Chinshakiangosaurus chunghoensis,,68152,species,Chinshakiangosaurus chunghoensis,68151,64009,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Chinshakiangosaurus,68151,,,,,,,
133909,133909,txn,,unranked clade,Gravisauria,,133909,unranked clade,Gravisauria,38653,28238,extinct,2077,Chordata,33815,Saurischia,38505,,,,,,,,,,0,12,269,309
52837,52837,txn,,family,Vulcanodontidae,,52837,family,Vulcanodontidae,133909,35439,extinct,2,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Vulcanodontidae,52837,,,,Vulcanodon,38650,,,0,0
